tract,cbsa,cbsaname,cbsapop,cbsasamp1,cbsasamp2,cbsasamp3,nwhite,nblack,nhisp,nasian,povyes,povno,edlow,edhs,edsome,edba,owner,renter,twoparent,singparent,nokids,age0017,age1859,age60up,race_pop,pr_white,pr_black,pr_hisp,pr_asian,pov_pop,pr_pov,singpar_pop,pr_singpar,age_pop,pr_adult_nohs,hsplus
6001433800,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1226,1224,2612,2151,1010,6979,1359,1512,1487,1200,1141,1285,728,366,1402,1836,4504,1029,7213,0.169970886,0.169693609,0.362123943,0.298211562,7989,0.126423833,2496,0.146634615,5533,0.245617206,4199
6001451201,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,4249,216,1189,704,835,5979,350,997,1664,1461,1723,768,758,233,1523,1699,4128,768,6358,0.668291916,0.033972947,0.187008493,0.110726644,6814,0.122541826,2514,0.092680986,4896,0.071486928,4122
6081601901,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,986,144,1295,1545,61,4366,335,674,1020,925,837,559,450,177,819,902,2485,732,3970,0.24836272,0.03627204,0.326196474,0.389168766,4427,0.013779083,1446,0.122406639,3217,0.104134287,2619
6081611300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3312,79,844,408,92,4397,157,561,955,1712,1417,532,396,72,1414,936,2690,1131,4643,0.713331897,0.017014861,0.181779022,0.087874219,4489,0.020494542,1882,0.038257173,3821,0.04108872,3228
6013319000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,5105,272,1354,418,710,6444,539,1295,2025,1155,1842,1153,489,464,2160,1497,4737,1178,7149,0.714085886,0.038047279,0.189397118,0.058469716,7154,0.099245178,3113,0.149052361,5915,0.09112426,4475
6075012902,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2533,53,235,450,112,3300,37,173,511,2296,365,1658,65,0,2021,203,2639,534,3271,0.774380923,0.016202996,0.071843473,0.137572608,3412,0.032825322,2086,0,3173,0.011660889,2980
6001437300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,514,459,1101,919,174,2736,476,540,568,408,488,395,225,109,475,816,1806,489,2993,0.171734046,0.153357835,0.367858336,0.307049783,2910,0.059793814,809,0.13473424,2295,0.207407407,1516
6013355108,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3260,3360,3068,2710,977,11646,586,1170,3285,2370,2926,625,1363,400,1716,3919,7475,1453,12398,0.262945636,0.271011453,0.247459268,0.218583643,12623,0.0773984,3479,0.114975568,8928,0.065636201,6825
6001426200,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3322,120,228,871,95,4414,48,147,449,2268,1400,285,537,203,825,1424,2394,927,4541,0.731556926,0.026425897,0.050209205,0.191807972,4509,0.021068973,1565,0.12971246,3321,0.014453478,2864
6013303205,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,5852,323,1543,403,338,7194,478,1239,2332,1515,2838,429,501,196,2414,1888,3674,2747,8121,0.720600911,0.039773427,0.190001231,0.04962443,7532,0.044875199,3111,0.06300225,6421,0.074443233,5086
6013304002,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,751,71,555,16,98,1126,105,204,263,284,295,154,110,24,356,431,773,222,1393,0.539124192,0.050969131,0.398420675,0.011486001,1224,0.080065359,490,0.048979592,995,0.105527638,751
6081602300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,730,74,1702,1160,100,3710,400,751,739,559,711,347,407,125,667,916,2248,589,3666,0.199127114,0.020185488,0.46426623,0.316421167,3810,0.026246719,1199,0.104253545,2837,0.140994008,2049
6041124100,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,4539,78,289,341,168,5058,150,250,524,2752,1388,871,585,81,1464,1434,2660,1347,5247,0.865065752,0.014865638,0.055079093,0.064989518,5226,0.032146958,2130,0.038028169,4007,0.03743449,3526
