"","lon","lat"
"509",-83.2434148,42.483768
"510",-83.933336,43.434841
"511",-86.2620623,43.1896409
"512",-86.2202087,35.3685479
"513",-83.9751477,43.4645419
"514",-83.3527097,42.36837
"515",-83.729432,42.205079
"516",-83.3188341,43.0514161
"517",-95.712891,37.09024
"518",-83.3741128,42.3829391
"519",-71.4025482,41.8267718
"520",-83.799551,43.0021203
"521",-78.487487,36.319059
"522",-85.7051113,42.464512
"523",-83.1497751,42.6064095
"524",-83.7380194,43.331691
"525",-88.821466,43.4755315
"526",-85.6680863,42.9633599
"527",-86.4390894,43.9649899
"528",-83.0781222,42.3727232
"529",-83.080961,42.3668128
"530",-83.0174584,42.4409466
"531",-83.1998035,42.4478977
"532",-86.5126029,42.0491581
"533",-83.4702132,42.3714253
"534",-84.4110096,42.26544
"535",-83.0146526,42.5144566
"536",-83.769115,42.171516
"537",-86.2483921,43.2341813
"538",-96.6418315,33.2181719
"539",-96.6418315,33.2181719
"540",-95.74008,29.59912
"541",-85.5498433,42.8850065
"542",-85.5333754,42.2415235
"543",-85.56921,42.936348
"544",-85.6680863,42.9633599
"545",-85.7040089,43.1548741
"546",-83.0672149,42.3620317
"547",-83.2440109,42.4792558
"548",-83.5943279,42.5060868
"549",-86.1262946,42.7769215
"550",-86.4451645,43.967284
"551",-83.444644,42.241557
"552",-83.191074,42.63552
"553",-83.0683508,42.7140368
"554",-84.6597274,43.3789199
"555",-83.6163423,42.9994718
"556",-83.0288369,42.5779246
"557",-86.1017009,42.5939168
"558",-83.3806111,41.9061001
"559",-83.20326,42.45759
"560",-85.6467582,42.2717688
"561",-83.3810257,42.378729
"562",-83.2211921,42.4871676
"563",-83.406124,42.304603
"564",-83.406124,42.304603
"565",-86.2483921,43.2341813
"566",-84.6075004,43.2916975
"567",-83.3896338,42.3415367
"568",-83.0367832,42.6039971
"569",-83.048701,42.3615727
"570",-82.5300707,43.2391623
"571",-84.8838525,41.9442145
"572",-84.6788835,42.6911106
"573",-84.5563326,42.7236654
"574",-78.487487,36.319059
"575",-84.5377236,42.6633868
"576",-83.1558215,42.3345121
"577",-83.8934877,43.5901512
"578",-85.724331,43.158119
"579",-85.5582111,42.8788644
"580",-85.2620421,45.0634858
"581",-85.6430603,42.8851222
"582",-83.4233489,42.4315105
"583",-86.108564,42.7527341
"584",-86.108564,42.7527341
"585",-83.2858734,42.4855701
"586",-85.6909489,42.9121912
"587",-83.6129939,42.2411499
"588",-85.12936,42.079873
"589",-83.0445346,42.3305847
"590",-83.0319261,42.311669
"591",-83.6175677,42.6380014
"592",-83.2970025,42.2101192
"593",-83.0319261,42.311669
"594",-83.5832917,43.3719678
"595",-85.0711174,42.9872547
"596",-84.4881252,43.7984134
"597",-85.6140408,42.975551
"598",-83.1822,42.228598
"599",-83.5029157,42.495411
"600",-82.8296572,43.4202989
"601",-83.0007774,43.8019592
"602",-83.6209674,42.9185775
"603",-83.9747496,43.4566146
"604",-84.2472116,43.6155825
"605",-83.6874562,43.0125274
"606",-83.5568726,42.2347137
"607",-83.163846,42.557815
"608",-83.163846,42.557815
"609",-84.5555347,42.732535
"610",-84.5555347,42.732535
"611",-83.7049498,42.7978061
"612",-83.265585,42.69821
"613",-83.3587664,42.4576996
"614",-83.396083,42.169052
"615",-86.2483921,43.2341813
"616",-85.8392868,43.9285507
"617",-83.0486233,42.3305672
"618",-83.1346478,42.4605917
"619",-83.0457538,42.331427
"620",-83.0457538,42.331427
"621",-84.567358,42.7632035
"622",-83.1336036,42.5430954
"623",-83.4856913,42.6592995
"624",-84.1525821,42.9824534
"625",-82.213695,41.172235
"626",-95.7509935,36.2294857
"627",-83.1497751,42.6064095
"628",-83.1497751,42.6064095
"629",-83.2608103,42.7157807
"630",-83.3273424,42.2418388
"631",-82.9493652,42.539202
"632",-83.0457538,42.331427
"633",-85.6669423,42.2689513
"634",-83.2970025,42.2101192
"635",-82.4249142,42.9708634
"636",-84.5120196,39.1031182
"637",-85.5582111,42.8788644
"638",-84.2062245,43.5892922
"639",-85.6023643,44.3148443
"640",-85.6023643,44.3148443
"641",-83.1103185,42.436999
"642",-83.0342024,42.4386632
"643",-70.3317195,43.885632
"644",-84.5480373,42.746272
"645",-84.5555347,42.732535
"646",-83.4852133,42.2047619
"647",-83.1448395,42.5616452
"648",-83.5146973,44.2694612
"649",-83.2341028,42.6875323
"650",-86.4541894,42.1167065
"651",-85.7813274,42.8864551
"652",-83.2979145,42.2693045
"653",-83.2732627,42.3369816
"654",-83.0050892,42.4536018
"655",-84.528203,42.733417
"656",-85.5498433,42.8850065
"657",-83.218175,42.224037
"658",-84.691661,44.597426
"659",-84.6611977,42.7040169
"660",-83.6830399,42.4903512
"661",-83.0549975,42.5872503
"662",-83.4222203,41.8791539
"663",-83.761752,42.180174
"664",-83.6798206,42.29432
"665",-83.6924099,43.017053
"666",-83.9870904,43.4371857
"667",-83.385161,42.378531
"668",-83.977597,43.45682
"669",-83.3044404,43.0380688
"670",-83.3044404,43.0380688
"671",-83.5295911,42.2460504
"672",-83.233849,42.662158
"673",-83.471839,42.480377
"674",-83.6888935,43.0345118
"675",-83.2910468,42.6389216
"676",-83.0950962,42.5252572
"677",-83.3483255,42.2253346
"678",-83.1782587,42.1394858
"679",-83.0137869,42.4510622
"680",-85.2465724,43.1808124
"681",-83.1951741,42.2947019
"682",-95.2136391,37.0339844
"683",-83.7430378,42.2808256
"684",-83.1615553,42.5603213
"685",-82.7994194,42.6960659
"686",-86.0103599,44.3733369
"687",-85.5100498,43.8750174
"688",-83.1497751,42.6064095
"689",-83.0369761,42.4921611
"690",NA,NA
"691",-83.8692657,43.4193865
"692",-83.240696,42.635276
"693",-83.6129939,42.2411499
"694",NA,NA
"695",-83.2910468,42.6389216
"696",-82.883912,42.5541539
"697",-83.0466896,42.3295101
"698",-83.1599349,42.552288
"699",-83.2110375,42.2575385
"700",-83.2218731,42.4733688
"701",-83.2714229,42.2124586
"702",-82.9493652,42.539202
"703",-83.0302033,42.5803122
"704",-83.1497751,42.6064095
"705",-83.6299518,42.9275277
"706",-83.3527097,42.36837
"707",-83.8017175,42.2758945
"708",-83.1611732,42.6824136
"709",-82.984119,42.808571
"710",-83.3188341,43.0514161
"711",-86.4541894,42.1167065
"712",-86.2283864,43.0630734
"713",-83.3527097,42.36837
"714",-95.712891,37.09024
"715",-85.6687204,42.9818333
"716",-85.5582111,42.8788644
"717",-83.0437039,42.604264
"718",-85.6537627,42.9274782
"719",-83.0463127,42.3800828
"720",-84.9553296,45.3733428
"721",-83.6888935,43.0345118
"722",-85.6023643,44.3148443
"723",-83.2970025,42.2101192
"724",-83.4852133,42.2047619
"725",-85.5903301,42.9063186
"726",-83.4187553,42.3771975
"727",-83.1446485,42.4894801
"728",-83.0481074,42.5949493
"729",-83.2715221,42.2239795
"730",-83.3863214,42.2814269
"731",-83.2434148,42.483768
"732",-83.1218133,42.5508309
"733",-83.1218133,42.5508309
"734",-84.6330184,43.3880716
"735",-83.2237167,42.5076318
"736",-83.4295092,44.3022948
"737",-83.4754913,42.48059
"738",-83.3089693,43.0594035
"739",-83.1134864,42.5375257
"740",-96.6418315,33.2181719
"741",-96.6418315,33.2181719
"742",-96.6418315,33.2181719
"743",-84.7572899,43.8121951
"744",-83.727993,42.799708
"745",-84.393427,42.246803
"746",-84.393427,42.246803
"747",-96.6418315,33.2181719
"748",-83.7388467,42.9734164
"749",-83.6840437,42.2149285
"750",-85.2612336,45.3115927
"751",-85.413928,44.260625
"752",-85.6447492,42.8694731
"753",-85.6447492,42.8694731
"754",-84.5440638,41.4799959
"755",-84.2320639,42.29249
"756",-83.2772867,42.4452814
"757",-86.108564,42.7527341
"758",-86.2283864,43.0630734
"759",-83.4172821,42.276061
"760",-85.6391684,42.972435
"761",-85.6391684,42.972435
"762",-82.9195514,42.5868882
"763",-83.7816075,42.1667072
"764",NA,NA
"765",-83.0457538,42.331427
"766",-83.034953,42.4240196
"767",-83.237549,42.444747
"768",-83.919927,43.449789
"769",-84.0371659,41.8975471
"770",-84.5555347,42.732535
"771",-82.9777954,43.2123567
"772",-84.9608995,45.3649689
"773",-83.096868,42.4055925
"774",-83.5021959,42.3893789
"775",-82.7352104,43.5266861
"776",-83.1052028,42.4858692
"777",-83.1497751,42.6064095
"778",-86.1063859,41.9819535
"779",-89.6437405,39.1703413
"780",-82.9984229,42.350814
"781",-96.6418315,33.2181719
"782",-83.729432,42.205079
"783",-83.7430378,42.2808256
"784",-83.0445346,42.3305847
"785",-83.2800486,42.380802
"786",-85.724331,43.158119
"787",-86.0883895,42.8128096
"788",-84.0730142,42.6605894
"789",-84.6747523,45.0275126
"790",-85.2461798,43.1760427
"791",-83.1426718,42.4884778
"792",-86.2541768,41.8297694
"793",-86.4895463,42.0938577
"794",-83.3484221,42.2253108
"795",-82.5292279,43.2347219
"796",-83.2970025,42.2101192
"797",-83.458021,42.3249454
"798",-84.6349487,41.9250903
"799",-85.6023643,44.3148443
"800",-83.2417994,42.1389839
"801",-82.9129109,42.627404
"802",-86.2541768,41.8297694
"803",-83.1337622,42.4751568
"804",-83.9879747,42.6271916
"805",-83.4754913,42.48059
"806",-85.7100393,43.1608578
"807",-85.5903301,42.9063186
"808",-86.2455839,43.2146937
"809",-86.2455839,43.2146937
"810",-83.1052028,42.4858692
"811",-86.2483921,43.2341813
"812",-83.3484221,42.2253108
"813",-83.110095,42.6863755
"814",-83.546047,42.513266
"815",-86.199048,43.029381
"816",-83.1497751,42.6064095
"817",-85.6391175,43.0162988
"818",-84.6535156,41.9351689
"819",-86.2483921,43.2341813
"820",-83.2474413,42.6585006
"821",-83.2218731,42.4733688
"822",-83.029785,42.5021384
"823",NA,NA
"824",-86.7460611,41.7964926
"825",-82.99484,42.4659198
"826",-83.0463127,42.3800828
"827",-83.0947766,42.4014867
"828",-84.6788835,42.6911106
"829",-83.3044404,43.0380688
"830",-83.406124,42.304603
"831",-83.191074,42.63552
"832",-83.3044404,43.0380688
"833",-83.3044404,43.0380688
"834",-86.2736407,42.4030865
"835",-84.4838654,42.7369792
"836",-85.1781731,42.3311137
"837",-85.6044241,43.0469706
"838",-75.3406213,40.4404484
"839",-85.5746198,42.8998549
"840",-85.67822,42.863356
"841",-83.3677168,42.4989936
"842",NA,NA
"843",-86.2639461,43.1689044
"844",-82.9662323,42.374308
"845",-82.90528,42.448047
"846",-83.2350645,42.2046235
"847",-83.3692257,42.3724857
"848",-85.6023643,44.3148443
"849",-83.0355087,42.4974209
"850",-83.0368219,42.5511009
"851",-83.3760059,42.4615333
"852",-83.2449132,42.4785043
